,file_path,length,label
0,train-clean-100/226/122538/226-122538-0010.flac,276400,
1,train-clean-100/374/180298/374-180298-0041.flac,275360,
2,train-clean-100/1624/168623/1624-168623-0036.flac,275280,
3,train-clean-100/6181/216552/6181-216552-0074.flac,272320,
4,train-clean-100/7800/283492/7800-283492-0034.flac,271520,
5,train-clean-100/226/131533/226-131533-0002.flac,271440,
6,train-clean-100/4297/13006/4297-13006-0006.flac,271360,
7,train-clean-100/2514/149482/2514-149482-0087.flac,271280,
8,train-clean-100/7800/283478/7800-283478-0030.flac,271040,
9,train-clean-100/1624/142933/1624-142933-0019.flac,270960,
10,train-clean-100/4362/15663/4362-15663-0032.flac,270880,
11,train-clean-100/7800/283493/7800-283493-0004.flac,270800,
12,train-clean-100/307/127535/307-127535-0005.flac,270560,
13,train-clean-100/7113/86041/7113-86041-0006.flac,269920,
14,train-clean-100/226/122538/226-122538-0014.flac,269600,
15,train-clean-100/5390/30096/5390-30096-0025.flac,269200,
16,train-clean-100/7113/86041/7113-86041-0082.flac,269120,
17,train-clean-100/8238/274553/8238-274553-0057.flac,269120,
18,train-clean-100/7505/258958/7505-258958-0002.flac,269040,
19,train-clean-100/7113/86041/7113-86041-0029.flac,268800,
20,train-clean-100/3723/171115/3723-171115-0013.flac,268720,
21,train-clean-100/307/127539/307-127539-0006.flac,268640,
22,train-clean-100/6529/62554/6529-62554-0007.flac,268640,
23,train-clean-100/7113/86041/7113-86041-0072.flac,268560,
24,train-clean-100/1088/129236/1088-129236-0003.flac,268240,
25,train-clean-100/307/127539/307-127539-0030.flac,268160,
26,train-clean-100/6181/216552/6181-216552-0066.flac,268160,
27,train-clean-100/3240/131231/3240-131231-0064.flac,268080,
28,train-clean-100/5789/57195/5789-57195-0025.flac,268080,
29,train-clean-100/2514/149482/2514-149482-0040.flac,268000,
30,train-clean-100/2514/149482/2514-149482-0103.flac,268000,
31,train-clean-100/3240/131231/3240-131231-0017.flac,267920,
32,train-clean-100/7635/105661/7635-105661-0044.flac,267920,
33,train-clean-100/2514/149482/2514-149482-0013.flac,267920,
34,train-clean-100/7113/86041/7113-86041-0010.flac,267680,
35,train-clean-100/2514/149482/2514-149482-0005.flac,267360,
36,train-clean-100/1246/124550/1246-124550-0005.flac,267280,
37,train-clean-100/7505/258964/7505-258964-0003.flac,267280,
38,train-clean-100/7505/258958/7505-258958-0006.flac,267120,
39,train-clean-100/4214/7146/4214-7146-0015.flac,267040,
40,train-clean-100/6181/216552/6181-216552-0044.flac,266960,
41,train-clean-100/3242/67153/3242-67153-0004.flac,266881,
42,train-clean-100/7505/83618/7505-83618-0023.flac,266880,
43,train-clean-100/3242/67153/3242-67153-0007.flac,266880,
44,train-clean-100/7635/105409/7635-105409-0057.flac,266641,
45,train-clean-100/2514/149482/2514-149482-0033.flac,266640,
46,train-clean-100/7447/91187/7447-91187-0057.flac,266400,
47,train-clean-100/1088/134315/1088-134315-0042.flac,266240,
48,train-clean-100/587/41619/587-41619-0001.flac,266080,
49,train-clean-100/7447/91187/7447-91187-0020.flac,266000,
50,train-clean-100/226/131532/226-131532-0003.flac,265680,
51,train-clean-100/5390/24512/5390-24512-0025.flac,265520,
52,train-clean-100/307/127535/307-127535-0031.flac,265440,
53,train-clean-100/5789/70653/5789-70653-0000.flac,265440,
54,train-clean-100/5750/100289/5750-100289-0048.flac,265360,
55,train-clean-100/8238/274553/8238-274553-0038.flac,265360,
56,train-clean-100/7113/86041/7113-86041-0069.flac,265280,
57,train-clean-100/1624/142933/1624-142933-0022.flac,265280,
58,train-clean-100/5390/24512/5390-24512-0045.flac,265120,
59,train-clean-100/7447/91186/7447-91186-0022.flac,265120,
60,train-clean-100/5750/100289/5750-100289-0009.flac,265040,
61,train-clean-100/4214/7146/4214-7146-0064.flac,265040,
62,train-clean-100/7113/86041/7113-86041-0047.flac,264880,
63,train-clean-100/7447/91187/7447-91187-0046.flac,264880,
